    CJ95O010  1997 03 29.3246  0.936371  0.994901  130.8439  283.0048   89.1529  20180124  -2.0  4.0  C/1995 O1 (Hale-Bopp)                                    MPC106342
    PJ96R020  2019 02 11.4817  2.590477  0.313205  333.2863   40.0502    2.6010  20180124  11.5  4.0  P/1996 R2 (Lagerkvist)                                   NK   1615
    PJ97B010  2022 03 27.9721  2.047115  0.760673  183.4105  328.9700   12.3569  20180124  15.0  2.0  P/1997 B1 (Kobayashi)                                    MPC 30063
    PJ98V24S  2018 01 19.1706  3.438690  0.241653  244.9470  159.0524    5.0223  20180124  13.0  2.0  P/1998 VS24 (LINEAR)                                     MPC 75703
    PJ99D010  2012 12 18.3759  1.650171  0.713504  174.1118  348.7648   21.3387  20180124  15.0  4.0  P/1999 D1 (Hermann)                                      NK   1780
    PJ99R010  2019 08 30.7760  0.051282  0.979605   50.6745  357.8785   12.2442  20180124  27.0  6.0  P/1999 R1 (SOHO)                                         CCO    17
    PJ99R28O  2019 06 25.1030  1.124453  0.673062  230.2983  138.7069    7.5656  20180124  20.0  2.0  P/1999 RO28 (LONEOS)                                     NK    731
    PJ99XC0N  2017 06 12.4430  3.297226  0.211357  162.0227  285.2932    5.0294  20180124  13.5  2.0  P/1999 XN120 (Catalina)                                  MPC 75704
    PK00R020  2019 06 16.9499  1.619634  0.532607  176.3803  160.4716   11.7027  20180124  18.0  4.0  P/2000 R2 (LINEAR)                                       NK    744
    PK00S040  2019 09 26.4216  2.269694  0.681810  172.7884  173.9585   28.3995  20180124  17.5  2.0  P/2000 S4 (LINEAR-Spacewatch)                            MPC 73461
    PK01B50B  2014 09  3.7880  2.367582  0.587235  193.6219  351.1913   10.3632  20180124  13.0  4.0  P/2001 BB50 (LINEAR-NEAT)                                MPC 75704
    PK01H050  2015 10 21.7955  2.437872  0.599997  224.7950  328.6979    8.3789  20180124  12.0  4.0  P/2001 H5 (NEAT)                                         MPC 43019
    PK01Q060  2024 03  1.9722  1.406420  0.822733   43.1000   22.0016   56.8537  20180124  13.5  4.0  P/2001 Q6 (NEAT)                                         MPC 75704
    PK01R060  2018 10  4.2500  2.191089  0.475724  308.4815   67.3359   17.3796  20180124  13.0  4.0  P/2001 R6 (LINEAR-Skiff)                                 MPC 82311
    PK01T030  2018 06 10.6876  2.485294  0.614445  356.7901   55.1636   19.3973  20180124  12.0  4.0  P/2001 T3 (NEAT)                                         MPC 75704
    PK02E57J  2018 06 18.5285  2.627235  0.593553  167.0127  330.4340    4.9766  20180124  12.5  4.0  P/2002 EJ57 (LINEAR)                                     MPC 47727
    PK02T050  2021 12 17.1546  3.932082  0.437226  326.9774  123.1130   30.8689  20180124   8.0  4.0  P/2002 T5 (LINEAR)                                       MPC 82311
    PK02T060  2024 07 29.0151  3.368850  0.559168  218.3462  208.0482   10.9177  20180124  10.5  4.0  P/2002 T6 (NEAT-LINEAR)                                  MPC 75704
    CK02V94Q  2006 02  3.2940  6.817621  0.964437  100.1816   34.8905   70.4342  20180124   9.5  2.0  C/2002 VQ94 (LINEAR)                                     MPC 75007
    PK03F020  2019 11 11.6102  2.971119  0.542544  191.7266  359.1110   11.6036  20180124  16.5  2.0  P/2003 F2 (NEAT)                                         MPC 50354
    PK03L010  2020 07  8.5612  5.020358  0.253143  354.6823  226.0657    9.0204  20180124   8.5  4.0  P/2003 L1 (Scotti)                                       MPC 75704
    PK03Q29X  2025 08  7.0523  4.256787  0.471307   37.1424  264.5825   11.3880  20180124   8.5  4.0  P/2003 QX29 (NEAT)                                       MPC 50139
    PK03T120  2016 03 10.5943  0.583612  0.773917  218.6086  175.7980   11.2393  20180124  17.0  4.0  P/2003 T12 (SOHO)                                        MPC 99268
    PK03U030  2014 10 14.9425  2.484237  0.508756  356.8679  348.0032    7.0061  20180124  13.5  4.0  P/2003 U3 (NEAT)                                         MPC 75705
    PK04A010  2027 01 21.0715  5.465079  0.311364   21.7304  124.9025   10.5595  20180124   6.5  4.0  P/2004 A1 (LONEOS)                                       MPC 82312
